article_id	start_position	end_position	entity_text	entity_type
8	1153	1158	56387	ID
9	7	17	E127388873	ID
13	1273	1283	E137354975	ID
22	752	756	7382	ID
35	1801	1811	R103846354	ID
36	1115	1125	E183745524	ID
40	499	509	E184666204	ID
44	6	16	R113566480	ID
45	3281	3286	23343	ID
49	8	18	R113993846	ID
51	20	30	R334666726	ID
62	1928	1932	3452	ID
63	6	16	R234526780	ID
63	8	12	3452	ID
65	2301	2311	F178290737	ID
90	1525	1535	R223640298	ID
91	3	13	A184058370	ID
92	1423	1433	A148390275	ID
93	802	812	E128739467	ID
103	633	643	S137465537	ID
121	996	1006	A289370198	ID
126	743	753	R147380478	ID
131	1213	1218	73846	ID
142	15	25	R100382694	ID
146	6	16	E189370256	ID
158	1380	1390	A124699678	ID
