article_id	start_position	end_position	entity_text	entity_type	source
0	36	38	年底	time	bert
0	36	38	年底	time	bert
0	113	115	今天	time	bert
0	113	115	今天	time	bert
0	198	200	新樓	location	bert
0	198	200	新樓	location	bert
0	227	229	麻豆	location	bert
0	227	229	麻豆	location	bert
0	237	239	麻豆	location	bert
0	237	239	麻豆	location	bert
0	295	297	今年	time	bert
0	295	297	今年	time	bert
1	31	33	今天	time	bert
1	31	33	今天	time	bert
1	40	42	昨天	time	bert
1	40	42	昨天	time	bert
1	76	80	0.79	med_exam	bert
1	76	80	0.79	med_exam	bert
1	94	96	88	med_exam	bert
1	94	96	88	med_exam	bert
1	122	124	60	med_exam	bert
1	122	124	60	med_exam	bert
1	258	261	2.6	med_exam	bert
1	258	261	2.6	med_exam	bert
1	360	363	黃醫師	name	bert
1	360	363	黃醫師	name	bert
1	366	369	6.6	med_exam	bert
1	366	369	6.6	med_exam	bert
1	385	388	6.6	med_exam	bert
1	385	388	6.6	med_exam	bert
1	394	397	8.3	med_exam	bert
1	394	397	8.3	med_exam	bert
1	407	410	8.3	med_exam	bert
1	407	410	8.3	med_exam	bert
1	418	421	8.3	med_exam	bert
1	418	421	8.3	med_exam	bert
1	463	466	6.2	med_exam	bert
1	463	466	6.2	med_exam	bert
1	469	472	三個月	time	bert
1	469	472	三個月	time	bert
1	497	500	劉老師	name	bert
1	497	500	劉老師	name	bert
1	626	629	黃醫師	name	bert
1	626	629	黃醫師	name	bert
1	742	744	中午	time	bert
1	742	744	中午	time	bert
1	873	875	21	med_exam	bert
1	873	875	21	med_exam	bert
1	890	893	12天	time	bert
1	890	893	12天	time	bert
1	902	906	三個星期	time	bert
1	902	906	三個星期	time	bert
2	170	174	1100	med_exam	bert
2	170	174	1100	med_exam	bert
2	245	249	1145	med_exam	bert
2	245	249	1145	med_exam	bert
2	275	278	500	med_exam	bert
2	275	278	500	med_exam	bert
2	285	288	500	med_exam	bert
2	285	288	500	med_exam	bert
2	390	393	三個月	time	bert
2	390	393	三個月	time	bert
2	402	405	三個月	time	bert
2	402	405	三個月	time	bert
2	424	426	小梅	name	bert
2	424	426	小梅	name	bert
2	678	680	55	med_exam	bert
2	678	680	55	med_exam	bert
2	681	683	57	med_exam	bert
2	681	683	57	med_exam	bert
2	699	701	52	med_exam	bert
2	699	701	52	med_exam	bert
2	792	795	兩個月	time	bert
2	792	795	兩個月	time	bert
2	872	873	3	med_exam	bert
2	872	873	3	med_exam	bert
